9999,9999,9999
-60.0,-25.0,-27.0
-58.0,-25.0,-23.0
-54.0,-24.0,-18.0
-51.0,-24.0,-14.0
-47.0,-23.0,-9.0
-43.0,-23.0,-6.0
-41.0,-22.0,-1.0
-38.0,-21.0,2.0
-36.0,-19.0,8.0
-36.0,-18.0,10.0
-36.0,-18.0,10.0
-36.0,-18.0,10.0
-35.0,-19.0,9.0
-35.0,-19.0,9.0
-34.0,-18.0,8.0
-35.0,-18.0,2.0
-36.0,-17.0,-4.0
-38.0,-17.0,-11.0
-40.0,-16.0,-21.0
-45.0,-16.0,-32.0
-51.0,-15.0,-37.0
9999,9999,9999
-43.0,-3.0,-53.0
-39.0,0.0,-54.0
-35.0,2.0,-54.0
-31.0,6.0,-55.0
-28.0,9.0,-55.0
-24.0,13.0,-56.0
-20.0,16.0,-57.0
-17.0,20.0,-57.0
-14.0,24.0,-57.0
-10.0,28.0,-57.0
-6.0,32.0,-57.0
-1.0,36.0,-57.0
3.0,40.0,-57.0
8.0,43.0,-57.0
12.0,47.0,-58.0
17.0,50.0,-59.0
21.0,54.0,-60.0
25.0,58.0,-62.0
29.0,62.0,-65.0
32.0,66.0,-68.0
36.0,70.0,-71.0
39.0,73.0,-73.0
42.0,75.0,-74.0
44.0,76.0,-74.0
45.0,77.0,-75.0
45.0,77.0,-75.0
45.0,78.0,-75.0
44.0,78.0,-75.0
44.0,77.0,-75.0
44.0,77.0,-75.0
42.0,77.0,-74.0
43.0,77.0,-76.0
42.0,76.0,-75.0
42.0,76.0,-75.0
42.0,76.0,-75.0
42.0,76.0,-75.0
42.0,76.0,-76.0
42.0,76.0,-76.0
42.0,76.0,-76.0
42.0,76.0,-77.0
43.0,76.0,-78.0
42.0,77.0,-80.0
38.0,76.0,-83.0
32.0,74.0,-84.0
24.0,71.0,-84.0
2.0,61.0,-77.0
-10.0,56.0,-73.0
-22.0,51.0,-68.0
-33.0,48.0,-65.0
-43.0,44.0,-62.0
-52.0,41.0,-60.0
-60.0,39.0,-57.0
-66.0,37.0,-55.0
-72.0,35.0,-54.0
9999,9999,9999
-110.0,22.0,-31.0
-102.0,19.0,-27.0
-102.0,19.0,-27.0
-92.0,15.0,-26.0
-69.0,10.0,-12.0
-60.0,9.0,-8.0
-54.0,7.0,-4.0
-50.0,6.0,-1.0
-47.0,6.0,0.0
-45.0,6.0,-1.0
-44.0,6.0,-3.0
-43.0,6.0,-5.0
-43.0,7.0,-7.0
-43.0,7.0,-9.0
-43.0,7.0,-11.0
-43.0,7.0,-14.0
-44.0,8.0,-18.0
-45.0,8.0,-22.0
-46.0,8.0,-27.0
9999,9999,9999
29.0,-60.0,14.0
31.0,-58.0,16.0
33.0,-57.0,16.0
32.0,-55.0,15.0
31.0,-54.0,14.0
31.0,-52.0,12.0
28.0,-50.0,8.0
26.0,-49.0,4.0
21.0,-47.0,-1.0
17.0,-45.0,-4.0
11.0,-44.0,-8.0
7.0,-43.0,-11.0
2.0,-42.0,-14.0
-3.0,-42.0,-17.0
-8.0,-41.0,-18.0
-18.0,-40.0,-21.0
-23.0,-40.0,-23.0
9999,9999,9999
68.0,-42.0,-3.0
68.0,-42.0,-4.0
68.0,-41.0,-4.0
67.0,-41.0,-5.0
67.0,-41.0,-6.0
66.0,-40.0,-6.0
65.0,-40.0,-6.0
65.0,-40.0,-4.0
65.0,-40.0,-4.0
64.0,-39.0,-3.0
64.0,-39.0,-4.0
64.0,-39.0,-4.0
62.0,-39.0,-4.0
62.0,-39.0,-5.0
61.0,-39.0,-5.0
61.0,-39.0,-4.0
59.0,-39.0,-4.0
57.0,-40.0,-4.0
55.0,-40.0,-4.0
53.0,-41.0,-4.0
47.0,-42.0,-3.0
47.0,-42.0,-3.0
44.0,-42.0,-4.0
44.0,-42.0,-4.0
35.0,-44.0,-4.0
31.0,-45.0,-4.0
27.0,-46.0,-4.0
20.0,-48.0,-4.0
20.0,-48.0,-4.0
16.0,-49.0,-4.0
12.0,-49.0,-4.0
9.0,-50.0,-4.0
5.0,-51.0,-5.0
2.0,-52.0,-5.0
-1.0,-52.0,-5.0
9999,9999,9999
0.0,-52.0,9.0
0.0,-52.0,9.0
22.0,-49.0,10.0
22.0,-49.0,11.0
31.0,-47.0,12.0
45.0,-44.0,14.0
52.0,-43.0,14.0
59.0,-42.0,14.0
65.0,-40.0,13.0
65.0,-40.0,13.0
72.0,-39.0,12.0
74.0,-38.0,10.0
75.0,-38.0,8.0
75.0,-38.0,8.0
73.0,-38.0,5.0
71.0,-38.0,3.0
69.0,-38.0,0.0
9999,9999,9999
45.0,-55.0,59.0
47.0,-54.0,58.0
47.0,-54.0,58.0
50.0,-53.0,56.0
47.0,-52.0,50.0
43.0,-51.0,46.0
44.0,-53.0,43.0
33.0,-50.0,37.0
30.0,-50.0,33.0
26.0,-49.0,29.0
23.0,-49.0,25.0
21.0,-49.0,21.0
19.0,-49.0,18.0
18.0,-48.0,14.0
16.0,-47.0,12.0
15.0,-47.0,10.0
13.0,-47.0,9.0
11.0,-47.0,7.0
7.0,-47.0,5.0
-1.0,-47.0,4.0
-1.0,-47.0,3.0
-3.0,-47.0,2.0
-5.0,-47.0,2.0
-6.0,-48.0,1.0
-9.0,-48.0,1.0
-13.0,-48.0,2.0
9999,9999,9999
-25.0,-54.0,30.0
-19.0,-56.0,34.0
-18.0,-55.0,37.0
-14.0,-53.0,43.0
-9.0,-51.0,45.0
-9.0,-49.0,43.0
-10.0,-46.0,39.0
9999,9999,9999
0.0,0.0,0.0
1.0,1.0,1.0
